Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Tumor_Volume_Change_mm3,Tumor_Volume_Change_pct,Weight_Category,Age_Group,Study_Phase
s185,Capomulin,Female,3,17.0,25,33.94994037,0,-11.05005963,-24.56,Light (<17g),0–6 mo,Mid (11–25)
s185,Capomulin,Female,3,17.0,30,32.95967078,1,-12.040329219999997,-26.76,Light (<17g),0–6 mo,Late (26–45)
s185,Capomulin,Female,3,17.0,35,28.32853059,1,-16.67146941,-37.05,Light (<17g),0–6 mo,Late (26–45)
s185,Capomulin,Female,3,17.0,40,25.47214326,1,-19.52785674,-43.4,Light (<17g),0–6 mo,Late (26–45)
s185,Capomulin,Female,3,17.0,45,23.34359787,1,-21.65640213,-48.13,Light (<17g),0–6 mo,Late (26–45)
x401,Capomulin,Female,16,15.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
x401,Capomulin,Female,16,15.0,5,45.47375302,0,0.47375301999999664,1.05,Light (<17g),13–24 mo,Early (0–10)
x401,Capomulin,Female,16,15.0,10,39.11389068,0,-5.886109320000003,-13.08,Light (<17g),13–24 mo,Early (0–10)
x401,Capomulin,Female,16,15.0,15,39.77625003,0,-5.22374997,-11.61,Light (<17g),13–24 mo,Mid (11–25)
x401,Capomulin,Female,16,15.0,20,36.06583471,0,-8.934165290000003,-19.85,Light (<17g),13–24 mo,Mid (11–25)
x401,Capomulin,Female,16,15.0,25,36.61712031,0,-8.382879690000003,-18.63,Light (<17g),13–24 mo,Mid (11–25)
x401,Capomulin,Female,16,15.0,30,32.91529186,0,-12.084708139999996,-26.85,Light (<17g),13–24 mo,Late (26–45)
x401,Capomulin,Female,16,15.0,35,30.20682488,0,-14.79317512,-32.87,Light (<17g),13–24 mo,Late (26–45)
x401,Capomulin,Female,16,15.0,40,28.16739732,0,-16.83260268,-37.41,Light (<17g),13–24 mo,Late (26–45)
x401,Capomulin,Female,16,15.0,45,28.48403281,0,-16.51596719,-36.7,Light (<17g),13–24 mo,Late (26–45)
m601,Capomulin,Male,22,17.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
m601,Capomulin,Male,22,17.0,5,41.40859145,1,-3.591408549999997,-7.98,Light (<17g),13–24 mo,Early (0–10)
m601,Capomulin,Male,22,17.0,10,36.82536664,1,-8.174633360000001,-18.17,Light (<17g),13–24 mo,Early (0–10)
m601,Capomulin,Male,22,17.0,15,35.46461175,1,-9.535388249999997,-21.19,Light (<17g),13–24 mo,Mid (11–25)
m601,Capomulin,Male,22,17.0,20,34.2557317,1,-10.744268300000002,-23.88,Light (<17g),13–24 mo,Mid (11–25)
m601,Capomulin,Male,22,17.0,25,33.11875607,1,-11.881243929999997,-26.4,Light (<17g),13–24 mo,Mid (11–25)
m601,Capomulin,Male,22,17.0,30,31.75827491,1,-13.24172509,-29.43,Light (<17g),13–24 mo,Late (26–45)
m601,Capomulin,Male,22,17.0,35,30.83435704,1,-14.16564296,-31.48,Light (<17g),13–24 mo,Late (26–45)
m601,Capomulin,Male,22,17.0,40,31.3780453,1,-13.6219547,-30.27,Light (<17g),13–24 mo,Late (26–45)
m601,Capomulin,Male,22,17.0,45,28.43096411,1,-16.56903589,-36.82,Light (<17g),13–24 mo,Late (26–45)
g791,Ramicane,Male,11,16.0,0,45.0,0,0.0,0.0,Light (<17g),7–12 mo,Early (0–10)
g791,Ramicane,Male,11,16.0,5,45.85153062,0,0.8515306199999984,1.89,Light (<17g),7–12 mo,Early (0–10)
g791,Ramicane,Male,11,16.0,10,40.17055848,0,-4.829441520000003,-10.73,Light (<17g),7–12 mo,Early (0–10)
g791,Ramicane,Male,11,16.0,15,40.67812852,0,-4.321871479999999,-9.6,Light (<17g),7–12 mo,Mid (11–25)
g791,Ramicane,Male,11,16.0,20,41.211897,0,-3.7881029999999996,-8.42,Light (<17g),7–12 mo,Mid (11–25)
g791,Ramicane,Male,11,16.0,25,35.56939935,1,-9.430600650000002,-20.96,Light (<17g),7–12 mo,Mid (11–25)
g791,Ramicane,Male,11,16.0,30,34.95258284,1,-10.047417160000002,-22.33,Light (<17g),7–12 mo,Late (26–45)
g791,Ramicane,Male,11,16.0,35,30.96039194,1,-14.039608059999999,-31.2,Light (<17g),7–12 mo,Late (26–45)
g791,Ramicane,Male,11,16.0,40,31.36940573,1,-13.63059427,-30.29,Light (<17g),7–12 mo,Late (26–45)
g791,Ramicane,Male,11,16.0,45,29.12847181,1,-15.87152819,-35.27,Light (<17g),7–12 mo,Late (26–45)
s508,Ramicane,Male,1,17.0,0,45.0,0,0.0,0.0,Light (<17g),0–6 mo,Early (0–10)
s508,Ramicane,Male,1,17.0,5,38.71187185,0,-6.288128149999999,-13.97,Light (<17g),0–6 mo,Early (0–10)
s508,Ramicane,Male,1,17.0,10,34.8509979,0,-10.149002099999997,-22.55,Light (<17g),0–6 mo,Early (0–10)
s508,Ramicane,Male,1,17.0,15,35.27690634,0,-9.723093660000004,-21.61,Light (<17g),0–6 mo,Mid (11–25)
s508,Ramicane,Male,1,17.0,20,35.92865083,0,-9.071349169999998,-20.16,Light (<17g),0–6 mo,Mid (11–25)
s508,Ramicane,Male,1,17.0,25,36.33856894,0,-8.661431059999998,-19.25,Light (<17g),0–6 mo,Mid (11–25)
s508,Ramicane,Male,1,17.0,30,35.47402235,0,-9.525977650000002,-21.17,Light (<17g),0–6 mo,Late (26–45)
s508,Ramicane,Male,1,17.0,35,35.8461407,0,-9.1538593,-20.34,Light (<17g),0–6 mo,Late (26–45)
s508,Ramicane,Male,1,17.0,40,32.79817119,0,-12.201828810000002,-27.12,Light (<17g),0–6 mo,Late (26–45)
s508,Ramicane,Male,1,17.0,45,30.27623175,0,-14.72376825,-32.72,Light (<17g),0–6 mo,Late (26–45)
f966,Capomulin,Male,16,17.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
f966,Capomulin,Male,16,17.0,5,38.79647373,0,-6.203526269999998,-13.79,Light (<17g),13–24 mo,Early (0–10)
f966,Capomulin,Male,16,17.0,10,35.6244027,0,-9.375597300000003,-20.83,Light (<17g),13–24 mo,Early (0–10)
f966,Capomulin,Male,16,17.0,15,32.62300253,0,-12.37699747,-27.5,Light (<17g),13–24 mo,Mid (11–25)
f966,Capomulin,Male,16,17.0,20,30.48598484,0,-14.51401516,-32.25,Light (<17g),13–24 mo,Mid (11–25)
m546,Ramicane,Male,18,16.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
m546,Ramicane,Male,18,16.0,5,42.99887638,0,-2.0011236200000013,-4.45,Light (<17g),13–24 mo,Early (0–10)
m546,Ramicane,Male,18,16.0,10,43.74822357,0,-1.2517764299999996,-2.78,Light (<17g),13–24 mo,Early (0–10)
m546,Ramicane,Male,18,16.0,15,39.89743533,0,-5.10256467,-11.34,Light (<17g),13–24 mo,Mid (11–25)
m546,Ramicane,Male,18,16.0,20,36.71229535,0,-8.287704650000002,-18.42,Light (<17g),13–24 mo,Mid (11–25)
m546,Ramicane,Male,18,16.0,25,37.44444543,0,-7.555554569999998,-16.79,Light (<17g),13–24 mo,Mid (11–25)
m546,Ramicane,Male,18,16.0,30,37.96993365,0,-7.0300663499999985,-15.62,Light (<17g),13–24 mo,Late (26–45)
m546,Ramicane,Male,18,16.0,35,38.62753581,1,-6.372464190000002,-14.16,Light (<17g),13–24 mo,Late (26–45)
m546,Ramicane,Male,18,16.0,40,35.1145752,1,-9.885424800000003,-21.97,Light (<17g),13–24 mo,Late (26–45)
m546,Ramicane,Male,18,16.0,45,30.56462509,1,-14.43537491,-32.08,Light (<17g),13–24 mo,Late (26–45)
z578,Ramicane,Male,11,16.0,0,45.0,0,0.0,0.0,Light (<17g),7–12 mo,Early (0–10)
z578,Ramicane,Male,11,16.0,5,42.18878662,0,-2.811213379999998,-6.25,Light (<17g),7–12 mo,Early (0–10)
z578,Ramicane,Male,11,16.0,10,42.95211843,0,-2.0478815700000013,-4.55,Light (<17g),7–12 mo,Early (0–10)
z578,Ramicane,Male,11,16.0,15,38.68851607,0,-6.311483930000001,-14.03,Light (<17g),7–12 mo,Mid (11–25)
z578,Ramicane,Male,11,16.0,20,36.89001635,0,-8.109983649999997,-18.02,Light (<17g),7–12 mo,Mid (11–25)
z578,Ramicane,Male,11,16.0,25,37.41411419,0,-7.585885810000001,-16.86,Light (<17g),7–12 mo,Mid (11–25)
z578,Ramicane,Male,11,16.0,30,37.81593487,0,-7.1840651300000005,-15.96,Light (<17g),7–12 mo,Late (26–45)
z578,Ramicane,Male,11,16.0,35,38.50482444,0,-6.49517556,-14.43,Light (<17g),7–12 mo,Late (26–45)
z578,Ramicane,Male,11,16.0,40,34.02209336,0,-10.97790664,-24.4,Light (<17g),7–12 mo,Late (26–45)
z578,Ramicane,Male,11,16.0,45,30.63869575,0,-14.36130425,-31.91,Light (<17g),7–12 mo,Late (26–45)
j913,Ramicane,Female,4,17.0,0,45.0,0,0.0,0.0,Light (<17g),0–6 mo,Early (0–10)
j913,Ramicane,Female,4,17.0,5,44.01490022,0,-0.9850997799999988,-2.19,Light (<17g),0–6 mo,Early (0–10)
j913,Ramicane,Female,4,17.0,10,44.49716216,0,-0.502837839999998,-1.12,Light (<17g),0–6 mo,Early (0–10)
j913,Ramicane,Female,4,17.0,15,45.25253427,0,0.2525342699999982,0.56,Light (<17g),0–6 mo,Mid (11–25)
j913,Ramicane,Female,4,17.0,20,42.16834132,0,-2.8316586799999968,-6.29,Light (<17g),0–6 mo,Mid (11–25)
j913,Ramicane,Female,4,17.0,25,37.86066936,0,-7.139330639999997,-15.87,Light (<17g),0–6 mo,Mid (11–25)
j913,Ramicane,Female,4,17.0,30,34.75724046,0,-10.242759540000002,-22.76,Light (<17g),0–6 mo,Late (26–45)
j913,Ramicane,Female,4,17.0,35,35.17014843,0,-9.829851570000002,-21.84,Light (<17g),0–6 mo,Late (26–45)
j913,Ramicane,Female,4,17.0,40,31.00186078,1,-13.998139219999999,-31.11,Light (<17g),0–6 mo,Late (26–45)
j913,Ramicane,Female,4,17.0,45,31.56046955,1,-13.43953045,-29.87,Light (<17g),0–6 mo,Late (26–45)
u364,Capomulin,Male,18,17.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
u364,Capomulin,Male,18,17.0,5,45.76088647,1,0.7608864700000026,1.69,Light (<17g),13–24 mo,Early (0–10)
u364,Capomulin,Male,18,17.0,10,46.56841719,2,1.5684171899999981,3.49,Light (<17g),13–24 mo,Early (0–10)
u364,Capomulin,Male,18,17.0,15,47.21219992,2,2.2121999200000033,4.92,Light (<17g),13–24 mo,Mid (11–25)
u364,Capomulin,Male,18,17.0,20,40.34394812,2,-4.65605188,-10.35,Light (<17g),13–24 mo,Mid (11–25)
u364,Capomulin,Male,18,17.0,25,35.50361557,2,-9.496384429999999,-21.1,Light (<17g),13–24 mo,Mid (11–25)
u364,Capomulin,Male,18,17.0,30,35.9783344,2,-9.021665599999999,-20.05,Light (<17g),13–24 mo,Late (26–45)
u364,Capomulin,Male,18,17.0,35,35.45948978,2,-9.540510220000002,-21.2,Light (<17g),13–24 mo,Late (26–45)
u364,Capomulin,Male,18,17.0,40,36.02413752,2,-8.975862480000004,-19.95,Light (<17g),13–24 mo,Late (26–45)
u364,Capomulin,Male,18,17.0,45,31.02392294,3,-13.976077060000001,-31.06,Light (<17g),13–24 mo,Late (26–45)
n364,Ramicane,Male,4,17.0,0,45.0,0,0.0,0.0,Light (<17g),0–6 mo,Early (0–10)
n364,Ramicane,Male,4,17.0,5,45.52187471,0,0.5218747099999987,1.16,Light (<17g),0–6 mo,Early (0–10)
n364,Ramicane,Male,4,17.0,10,40.3751382,0,-4.624861799999998,-10.28,Light (<17g),0–6 mo,Early (0–10)
n364,Ramicane,Male,4,17.0,15,36.94027399,0,-8.059726009999999,-17.91,Light (<17g),0–6 mo,Mid (11–25)
n364,Ramicane,Male,4,17.0,20,37.4788685,0,-7.521131500000003,-16.71,Light (<17g),0–6 mo,Mid (11–25)
n364,Ramicane,Male,4,17.0,25,33.20500824,0,-11.794991760000002,-26.21,Light (<17g),0–6 mo,Mid (11–25)
n364,Ramicane,Male,4,17.0,30,33.817758,0,-11.182242000000002,-24.85,Light (<17g),0–6 mo,Late (26–45)
n364,Ramicane,Male,4,17.0,35,34.48752204,1,-10.512477959999998,-23.36,Light (<17g),0–6 mo,Late (26–45)
n364,Ramicane,Male,4,17.0,40,34.95473311,1,-10.04526689,-22.32,Light (<17g),0–6 mo,Late (26–45)
n364,Ramicane,Male,4,17.0,45,31.09533505,1,-13.90466495,-30.9,Light (<17g),0–6 mo,Late (26–45)
y793,Capomulin,Male,17,17.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
y793,Capomulin,Male,17,17.0,5,41.01991315,0,-3.9800868499999993,-8.84,Light (<17g),13–24 mo,Early (0–10)
y793,Capomulin,Male,17,17.0,10,41.63001026,1,-3.369989740000001,-7.49,Light (<17g),13–24 mo,Early (0–10)
y793,Capomulin,Male,17,17.0,15,42.28366512,1,-2.716334879999998,-6.04,Light (<17g),13–24 mo,Mid (11–25)
y793,Capomulin,Male,17,17.0,20,40.71642815,2,-4.283571850000001,-9.52,Light (<17g),13–24 mo,Mid (11–25)
y793,Capomulin,Male,17,17.0,25,38.9927339,2,-6.0072661000000025,-13.35,Light (<17g),13–24 mo,Mid (11–25)
y793,Capomulin,Male,17,17.0,30,35.72602314,2,-9.273976859999998,-20.61,Light (<17g),13–24 mo,Late (26–45)
y793,Capomulin,Male,17,17.0,35,36.3278696,2,-8.6721304,-19.27,Light (<17g),13–24 mo,Late (26–45)
y793,Capomulin,Male,17,17.0,40,31.47541076,2,-13.524589240000001,-30.05,Light (<17g),13–24 mo,Late (26–45)
y793,Capomulin,Male,17,17.0,45,31.8962384,2,-13.103761599999999,-29.12,Light (<17g),13–24 mo,Late (26–45)
r554,Capomulin,Female,8,17.0,0,45.0,0,0.0,0.0,Light (<17g),7–12 mo,Early (0–10)
r554,Capomulin,Female,8,17.0,5,45.78174579,1,0.7817457900000022,1.74,Light (<17g),7–12 mo,Early (0–10)
r554,Capomulin,Female,8,17.0,10,39.0054935,2,-5.9945065,-13.32,Light (<17g),7–12 mo,Early (0–10)
r554,Capomulin,Female,8,17.0,15,35.46375763,2,-9.536242369999997,-21.19,Light (<17g),7–12 mo,Mid (11–25)
r554,Capomulin,Female,8,17.0,20,36.01558858,2,-8.98441142,-19.97,Light (<17g),7–12 mo,Mid (11–25)
r554,Capomulin,Female,8,17.0,25,33.89334515,3,-11.106654849999998,-24.68,Light (<17g),7–12 mo,Mid (11–25)
r554,Capomulin,Female,8,17.0,30,32.68065459,3,-12.319345409999997,-27.38,Light (<17g),7–12 mo,Late (26–45)
r554,Capomulin,Female,8,17.0,35,33.06933705,3,-11.930662949999999,-26.51,Light (<17g),7–12 mo,Late (26–45)
r554,Capomulin,Female,8,17.0,40,31.80484133,3,-13.195158670000001,-29.32,Light (<17g),7–12 mo,Late (26–45)
r554,Capomulin,Female,8,17.0,45,32.37735684,3,-12.622643160000003,-28.05,Light (<17g),7–12 mo,Late (26–45)
m957,Capomulin,Female,3,19.0,0,45.0,0,0.0,0.0,Medium (17–22g),0–6 mo,Early (0–10)
m957,Capomulin,Female,3,19.0,5,45.62238149,1,0.6223814900000022,1.38,Medium (17–22g),0–6 mo,Early (0–10)
m957,Capomulin,Female,3,19.0,10,46.4145177,1,1.4145176999999975,3.14,Medium (17–22g),0–6 mo,Early (0–10)
m957,Capomulin,Female,3,19.0,15,39.80445341,1,-5.195546589999999,-11.55,Medium (17–22g),0–6 mo,Mid (11–25)
m957,Capomulin,Female,3,19.0,20,38.90934919,1,-6.09065081,-13.53,Medium (17–22g),0–6 mo,Mid (11–25)
m957,Capomulin,Female,3,19.0,25,37.69543154,1,-7.304568459999999,-16.23,Medium (17–22g),0–6 mo,Mid (11–25)
m957,Capomulin,Female,3,19.0,30,38.21247939,1,-6.787520610000001,-15.08,Medium (17–22g),0–6 mo,Late (26–45)
m957,Capomulin,Female,3,19.0,35,32.56283914,1,-12.437160859999999,-27.64,Medium (17–22g),0–6 mo,Late (26–45)
m957,Capomulin,Female,3,19.0,40,32.94761484,1,-12.05238516,-26.78,Medium (17–22g),0–6 mo,Late (26–45)
m957,Capomulin,Female,3,19.0,45,33.32909778,1,-11.670902220000002,-25.94,Medium (17–22g),0–6 mo,Late (26–45)
c758,Ramicane,Male,9,17.0,0,45.0,0,0.0,0.0,Light (<17g),7–12 mo,Early (0–10)
c758,Ramicane,Male,9,17.0,5,45.5786783,0,0.5786783,1.29,Light (<17g),7–12 mo,Early (0–10)
c758,Ramicane,Male,9,17.0,10,46.28799223,0,1.2879922300000004,2.86,Light (<17g),7–12 mo,Early (0–10)
c758,Ramicane,Male,9,17.0,15,46.94094512,1,1.940945120000002,4.31,Light (<17g),7–12 mo,Mid (11–25)
c758,Ramicane,Male,9,17.0,20,43.1263114,1,-1.8736886000000013,-4.16,Light (<17g),7–12 mo,Mid (11–25)
c758,Ramicane,Male,9,17.0,25,43.6022673,1,-1.3977326999999988,-3.11,Light (<17g),7–12 mo,Mid (11–25)
c758,Ramicane,Male,9,17.0,30,44.11827028,1,-0.8817297200000027,-1.96,Light (<17g),7–12 mo,Late (26–45)
c758,Ramicane,Male,9,17.0,35,37.80238546,1,-7.1976145399999965,-15.99,Light (<17g),7–12 mo,Late (26–45)
c758,Ramicane,Male,9,17.0,40,32.83318858,1,-12.166811420000002,-27.04,Light (<17g),7–12 mo,Late (26–45)
c758,Ramicane,Male,9,17.0,45,33.39765251,1,-11.60234749,-25.78,Light (<17g),7–12 mo,Late (26–45)
t565,Capomulin,Female,20,17.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
t565,Capomulin,Female,20,17.0,5,45.8956472,0,0.8956471999999991,1.99,Light (<17g),13–24 mo,Early (0–10)
t565,Capomulin,Female,20,17.0,10,46.74900552,0,1.7490055199999972,3.89,Light (<17g),13–24 mo,Early (0–10)
t565,Capomulin,Female,20,17.0,15,44.44094861,0,-0.5590513900000005,-1.24,Light (<17g),13–24 mo,Mid (11–25)
t565,Capomulin,Female,20,17.0,20,39.0702138,0,-5.929786200000002,-13.18,Light (<17g),13–24 mo,Mid (11–25)
t565,Capomulin,Female,20,17.0,25,37.34220976,0,-7.657790239999997,-17.02,Light (<17g),13–24 mo,Mid (11–25)
t565,Capomulin,Female,20,17.0,30,32.86891617,0,-12.131083830000001,-26.96,Light (<17g),13–24 mo,Late (26–45)
t565,Capomulin,Female,20,17.0,35,33.51567063,0,-11.484329369999998,-25.52,Light (<17g),13–24 mo,Late (26–45)
t565,Capomulin,Female,20,17.0,40,33.94934131,0,-11.050658689999999,-24.56,Light (<17g),13–24 mo,Late (26–45)
t565,Capomulin,Female,20,17.0,45,34.45529799,0,-10.544702010000002,-23.43,Light (<17g),13–24 mo,Late (26–45)
a644,Ramicane,Female,7,17.0,0,45.0,0,0.0,0.0,Light (<17g),7–12 mo,Early (0–10)
a644,Ramicane,Female,7,17.0,5,45.55015754,0,0.5501575400000007,1.22,Light (<17g),7–12 mo,Early (0–10)
a644,Ramicane,Female,7,17.0,10,46.38071258,0,1.3807125800000009,3.07,Light (<17g),7–12 mo,Early (0–10)
a644,Ramicane,Female,7,17.0,15,46.91089166,0,1.9108916599999972,4.25,Light (<17g),7–12 mo,Mid (11–25)
a644,Ramicane,Female,7,17.0,20,45.86506461,0,0.8650646099999975,1.92,Light (<17g),7–12 mo,Mid (11–25)
a644,Ramicane,Female,7,17.0,25,41.48122408,0,-3.518775920000003,-7.82,Light (<17g),7–12 mo,Mid (11–25)
a644,Ramicane,Female,7,17.0,30,37.21112063,0,-7.7888793699999965,-17.31,Light (<17g),7–12 mo,Late (26–45)
a644,Ramicane,Female,7,17.0,35,35.12863083,0,-9.871369170000001,-21.94,Light (<17g),7–12 mo,Late (26–45)
a644,Ramicane,Female,7,17.0,40,35.77945086,0,-9.220549140000003,-20.49,Light (<17g),7–12 mo,Late (26–45)
a644,Ramicane,Female,7,17.0,45,32.97852192,1,-12.021478080000001,-26.71,Light (<17g),7–12 mo,Late (26–45)
i177,Ramicane,Male,10,18.0,0,45.0,0,0.0,0.0,Medium (17–22g),7–12 mo,Early (0–10)
i177,Ramicane,Male,10,18.0,5,44.06539783,0,-0.934602169999998,-2.08,Medium (17–22g),7–12 mo,Early (0–10)
i177,Ramicane,Male,10,18.0,10,41.02092924,0,-3.979070759999999,-8.84,Medium (17–22g),7–12 mo,Early (0–10)
i177,Ramicane,Male,10,18.0,15,40.33093479,0,-4.669065209999999,-10.38,Medium (17–22g),7–12 mo,Mid (11–25)
i177,Ramicane,Male,10,18.0,20,35.34536136,0,-9.654638640000002,-21.45,Medium (17–22g),7–12 mo,Mid (11–25)
i177,Ramicane,Male,10,18.0,25,34.0821803,1,-10.917819700000003,-24.26,Medium (17–22g),7–12 mo,Mid (11–25)
i177,Ramicane,Male,10,18.0,30,34.71147302,1,-10.28852698,-22.86,Medium (17–22g),7–12 mo,Late (26–45)
i177,Ramicane,Male,10,18.0,35,35.1521662,1,-9.847833799999997,-21.88,Medium (17–22g),7–12 mo,Late (26–45)
i177,Ramicane,Male,10,18.0,40,35.55793279,2,-9.442067209999998,-20.98,Medium (17–22g),7–12 mo,Late (26–45)
i177,Ramicane,Male,10,18.0,45,33.56240217,3,-11.437597830000001,-25.42,Medium (17–22g),7–12 mo,Late (26–45)
j989,Ramicane,Male,8,19.0,0,45.0,0,0.0,0.0,Medium (17–22g),7–12 mo,Early (0–10)
j989,Ramicane,Male,8,19.0,5,45.62071835,1,0.6207183499999971,1.38,Medium (17–22g),7–12 mo,Early (0–10)
j989,Ramicane,Male,8,19.0,10,46.34383237,1,1.3438323700000012,2.99,Medium (17–22g),7–12 mo,Early (0–10)
j989,Ramicane,Male,8,19.0,15,41.12835439,1,-3.8716456100000016,-8.6,Medium (17–22g),7–12 mo,Mid (11–25)
j989,Ramicane,Male,8,19.0,20,41.63534426,1,-3.3646557400000034,-7.48,Medium (17–22g),7–12 mo,Mid (11–25)
j989,Ramicane,Male,8,19.0,25,39.93411249,1,-5.065887510000003,-11.26,Medium (17–22g),7–12 mo,Mid (11–25)
j989,Ramicane,Male,8,19.0,30,34.67178107,1,-10.328218929999998,-22.95,Medium (17–22g),7–12 mo,Late (26–45)
j989,Ramicane,Male,8,19.0,35,35.1155898,1,-9.884410199999998,-21.97,Medium (17–22g),7–12 mo,Late (26–45)
j989,Ramicane,Male,8,19.0,40,35.50119014,1,-9.498809860000001,-21.11,Medium (17–22g),7–12 mo,Late (26–45)
j989,Ramicane,Male,8,19.0,45,36.13485243,1,-8.865147569999998,-19.7,Medium (17–22g),7–12 mo,Late (26–45)
i738,Capomulin,Female,23,20.0,0,45.0,0,0.0,0.0,Medium (17–22g),13–24 mo,Early (0–10)
i738,Capomulin,Female,23,20.0,5,45.59568527,0,0.595685269999997,1.32,Medium (17–22g),13–24 mo,Early (0–10)
i738,Capomulin,Female,23,20.0,10,43.42101414,0,-1.578985860000003,-3.51,Medium (17–22g),13–24 mo,Early (0–10)
i738,Capomulin,Female,23,20.0,15,37.97877782,0,-7.021222180000002,-15.6,Medium (17–22g),13–24 mo,Mid (11–25)
i738,Capomulin,Female,23,20.0,20,38.53113634,0,-6.468863659999997,-14.38,Medium (17–22g),13–24 mo,Mid (11–25)
i738,Capomulin,Female,23,20.0,25,34.97343761,0,-10.026562390000002,-22.28,Medium (17–22g),13–24 mo,Mid (11–25)
i738,Capomulin,Female,23,20.0,30,35.57877987,1,-9.421220130000002,-20.94,Medium (17–22g),13–24 mo,Late (26–45)
i738,Capomulin,Female,23,20.0,35,36.17595269,1,-8.824047309999997,-19.61,Medium (17–22g),13–24 mo,Late (26–45)
i738,Capomulin,Female,23,20.0,40,36.84389799,2,-8.156102009999998,-18.12,Medium (17–22g),13–24 mo,Late (26–45)
i738,Capomulin,Female,23,20.0,45,37.31184577,2,-7.688154230000002,-17.08,Medium (17–22g),13–24 mo,Late (26–45)
a520,Ramicane,Male,13,21.0,0,45.0,0,0.0,0.0,Medium (17–22g),13–24 mo,Early (0–10)
a520,Ramicane,Male,13,21.0,5,38.72370695,0,-6.27629305,-13.95,Medium (17–22g),13–24 mo,Early (0–10)
a520,Ramicane,Male,13,21.0,10,36.42938781,0,-8.570612189999999,-19.05,Medium (17–22g),13–24 mo,Early (0–10)
a520,Ramicane,Male,13,21.0,15,35.590254,0,-9.409745999999998,-20.91,Medium (17–22g),13–24 mo,Mid (11–25)
a520,Ramicane,Male,13,21.0,20,35.94774514,0,-9.052254859999998,-20.12,Medium (17–22g),13–24 mo,Mid (11–25)
a520,Ramicane,Male,13,21.0,25,36.55858129,1,-8.44141871,-18.76,Medium (17–22g),13–24 mo,Mid (11–25)
a520,Ramicane,Male,13,21.0,30,36.94770981,1,-8.05229019,-17.89,Medium (17–22g),13–24 mo,Late (26–45)
a520,Ramicane,Male,13,21.0,35,37.62471026,1,-7.3752897399999995,-16.39,Medium (17–22g),13–24 mo,Late (26–45)
a520,Ramicane,Male,13,21.0,40,38.25972497,1,-6.740275029999999,-14.98,Medium (17–22g),13–24 mo,Late (26–45)
a520,Ramicane,Male,13,21.0,45,38.81036633,1,-6.189633669999999,-13.75,Medium (17–22g),13–24 mo,Late (26–45)
w914,Capomulin,Male,24,21.0,0,45.0,0,0.0,0.0,Medium (17–22g),13–24 mo,Early (0–10)
w914,Capomulin,Male,24,21.0,5,45.89372032,0,0.8937203199999999,1.99,Medium (17–22g),13–24 mo,Early (0–10)
